sentence_index,sentence_length,unks,uuas_sum,uuas_triu,uuas_tril,uuas_none
53,16,5,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.3076923076923077
54,25,4,0.45454545454545453,0.4090909090909091,0.4090909090909091,0.4090909090909091
55,48,7,0.325,0.3,0.35,0.325
56,28,2,0.44,0.52,0.28,0.36
57,28,2,0.4583333333333333,0.4583333333333333,0.2916666666666667,0.4166666666666667
58,8,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
59,23,2,0.35,0.35,0.35,0.3
60,24,3,0.47368421052631576,0.3684210526315789,0.3157894736842105,0.42105263157894735
61,18,2,0.375,0.4375,0.1875,0.25
62,18,0,0.6428571428571429,0.35714285714285715,0.5,0.5714285714285714
63,25,4,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2857142857142857
64,34,6,0.25,0.2857142857142857,0.17857142857142858,0.25
65,19,2,0.3333333333333333,0.2,0.3333333333333333,0.4
66,27,2,0.4090909090909091,0.3181818181818182,0.36363636363636365,0.45454545454545453
67,28,5,0.4090909090909091,0.2727272727272727,0.5454545454545454,0.4090909090909091
68,34,4,0.4642857142857143,0.42857142857142855,0.32142857142857145,0.4642857142857143
69,38,8,0.41379310344827586,0.3793103448275862,0.3448275862068966,0.5172413793103449
70,13,0,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.36363636363636365
71,14,2,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.36363636363636365
72,23,3,0.4,0.3,0.4,0.3
73,28,3,0.28,0.2,0.28,0.36
74,6,0,0.5,0.25,0.25,0.5
75,26,1,0.45454545454545453,0.4090909090909091,0.3181818181818182,0.4090909090909091
76,16,1,0.5,0.5,0.42857142857142855,0.6428571428571429
77,33,1,0.5,0.42857142857142855,0.5,0.5357142857142857
78,14,0,0.4166666666666667,0.3333333333333333,0.5,0.4166666666666667
79,26,1,0.4166666666666667,0.375,0.3333333333333333,0.4583333333333333
80,16,5,0.5454545454545454,0.36363636363636365,0.5454545454545454,0.5454545454545454
81,16,1,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.46153846153846156
82,25,4,0.47619047619047616,0.5714285714285714,0.2857142857142857,0.42857142857142855
83,20,8,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.23076923076923078
84,41,6,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.4444444444444444
85,22,4,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35294117647058826
86,26,5,0.17391304347826086,0.21739130434782608,0.13043478260869565,0.17391304347826086
