sentence_index,sentence_length,unks,uuas_sum,uuas_triu,uuas_tril,uuas_none
1053,21,0,0.42105263157894735,0.3157894736842105,0.3684210526315789,0.3684210526315789
1054,24,7,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.4090909090909091
1055,41,5,0.47058823529411764,0.5,0.4117647058823529,0.4411764705882353
1056,32,7,0.39285714285714285,0.39285714285714285,0.25,0.42857142857142855
1057,12,1,0.3,0.4,0.2,0.2
1058,17,4,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.46153846153846156
1059,18,0,0.3125,0.375,0.375,0.4375
1060,19,3,0.47058823529411764,0.4117647058823529,0.29411764705882354,0.4117647058823529
1061,13,0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333
1062,35,8,0.4482758620689655,0.3103448275862069,0.4482758620689655,0.4827586206896552
1063,28,6,0.43478260869565216,0.2608695652173913,0.391304347826087,0.43478260869565216
1064,32,4,0.4642857142857143,0.4642857142857143,0.35714285714285715,0.42857142857142855
1065,41,5,0.5555555555555556,0.4166666666666667,0.4722222222222222,0.5277777777777778
1066,29,5,0.52,0.52,0.4,0.48
1067,25,4,0.3157894736842105,0.3157894736842105,0.21052631578947367,0.2631578947368421
1068,31,6,0.37037037037037035,0.37037037037037035,0.3333333333333333,0.37037037037037035
1069,24,2,0.55,0.4,0.45,0.4
1070,34,4,0.36666666666666664,0.3333333333333333,0.4,0.3333333333333333
1071,31,3,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.2692307692307692
1072,15,1,0.38461538461538464,0.46153846153846156,0.23076923076923078,0.38461538461538464
1073,24,3,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808
1074,10,1,0.25,0.625,0.375,0.375
1075,23,1,0.47619047619047616,0.3333333333333333,0.2857142857142857,0.42857142857142855
1076,15,0,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.38461538461538464
1077,15,4,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.36363636363636365
1078,31,4,0.3333333333333333,0.37037037037037035,0.2962962962962963,0.3333333333333333
1079,28,5,0.13043478260869565,0.08695652173913043,0.13043478260869565,0.08695652173913043
1080,26,3,0.43478260869565216,0.34782608695652173,0.2608695652173913,0.34782608695652173
1081,21,0,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5882352941176471
1082,25,3,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857
1083,16,4,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385
1084,11,1,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2222222222222222
1085,27,2,0.2727272727272727,0.22727272727272727,0.2727272727272727,0.36363636363636365
1086,22,2,0.4444444444444444,0.5,0.16666666666666666,0.3888888888888889
1087,6,1,0.4,0.4,0.2,0.2
1088,13,6,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444
1089,10,3,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714
1090,14,1,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.45454545454545453
1091,17,2,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.5
1092,16,2,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.2857142857142857
1093,9,1,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857
1094,20,2,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.5882352941176471
1095,21,1,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333
1096,26,3,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.38095238095238093
1097,28,7,0.5,0.4090909090909091,0.36363636363636365,0.5
1098,17,2,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855
1099,34,1,0.41379310344827586,0.3793103448275862,0.3103448275862069,0.4482758620689655
1100,20,3,0.5294117647058824,0.35294117647058826,0.47058823529411764,0.47058823529411764
1101,42,2,0.40540540540540543,0.40540540540540543,0.32432432432432434,0.40540540540540543
1102,23,4,0.4444444444444444,0.4444444444444444,0.5,0.5
1103,25,3,0.42857142857142855,0.5238095238095238,0.3333333333333333,0.42857142857142855
1104,22,3,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.5263157894736842
1105,30,5,0.2857142857142857,0.25,0.2857142857142857,0.32142857142857145
1106,35,5,0.4482758620689655,0.41379310344827586,0.4482758620689655,0.4827586206896552
1107,27,4,0.20833333333333334,0.25,0.25,0.2916666666666667
1108,30,6,0.4074074074074074,0.4444444444444444,0.2962962962962963,0.3333333333333333
1109,18,6,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4166666666666667
1110,5,0,0.75,0.75,0.75,0.75
1111,19,1,0.375,0.4375,0.3125,0.4375
1112,31,3,0.3333333333333333,0.3333333333333333,0.20833333333333334,0.2916666666666667
1113,16,2,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.6363636363636364
1114,27,0,0.4166666666666667,0.4166666666666667,0.2916666666666667,0.4166666666666667
1115,15,2,0.38461538461538464,0.23076923076923078,0.46153846153846156,0.46153846153846156
1116,28,6,0.25,0.25,0.2916666666666667,0.2916666666666667
1117,30,3,0.4230769230769231,0.4230769230769231,0.2692307692307692,0.4230769230769231
1118,31,4,0.5909090909090909,0.5454545454545454,0.4090909090909091,0.5909090909090909
1119,17,2,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333
1120,18,0,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.35714285714285715
1121,37,10,0.3548387096774194,0.3225806451612903,0.3870967741935484,0.45161290322580644
1122,17,3,0.26666666666666666,0.4,0.26666666666666666,0.26666666666666666
1123,9,2,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
1124,19,4,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.38461538461538464
1125,27,2,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.3333333333333333
1126,23,5,0.2222222222222222,0.16666666666666666,0.2777777777777778,0.16666666666666666
1127,15,1,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.45454545454545453
1128,8,2,0.0,0.0,0.2,0.2
1129,17,4,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.14285714285714285
1130,12,1,0.4,0.4,0.2,0.3
1131,24,1,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.42857142857142855
1132,17,1,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714
1133,12,2,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.3333333333333333
1134,9,0,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.42857142857142855
1135,19,2,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666
1136,17,3,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.2857142857142857
1137,24,2,0.35,0.55,0.3,0.45
1138,19,1,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882
1139,7,0,0.8,0.8,0.6,0.6
1140,31,6,0.4074074074074074,0.37037037037037035,0.37037037037037035,0.4444444444444444
1141,34,1,0.43333333333333335,0.3333333333333333,0.43333333333333335,0.43333333333333335
1142,22,6,0.25,0.3125,0.25,0.3125
1143,16,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715
1144,27,0,0.3333333333333333,0.4583333333333333,0.25,0.375
1145,26,5,0.38095238095238093,0.23809523809523808,0.38095238095238093,0.3333333333333333
1146,15,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667
1147,12,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
1148,35,2,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.3
1149,22,5,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.4117647058823529
1150,6,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
1151,41,5,0.2222222222222222,0.3055555555555556,0.2222222222222222,0.2222222222222222
1152,15,2,0.38461538461538464,0.46153846153846156,0.38461538461538464,0.46153846153846156
1153,21,1,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.47058823529411764
1154,38,2,0.28125,0.21875,0.1875,0.25
1155,14,2,0.25,0.16666666666666666,0.4166666666666667,0.25
1156,25,1,0.1875,0.375,0.25,0.3125
1157,23,1,0.42105263157894735,0.47368421052631576,0.2631578947368421,0.42105263157894735
1158,30,8,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.375
1159,6,1,0.25,0.5,0.5,0.5
1160,30,1,0.36,0.36,0.28,0.24
1161,15,0,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.23076923076923078
1162,19,0,0.35294117647058826,0.5294117647058824,0.29411764705882354,0.35294117647058826
1163,26,2,0.4782608695652174,0.391304347826087,0.5217391304347826,0.5217391304347826
1164,43,8,0.375,0.375,0.3,0.375
1165,46,3,0.325,0.3,0.3,0.35
1166,18,3,0.3125,0.1875,0.125,0.25
1167,24,0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808
1168,30,1,0.6,0.44,0.56,0.48
1169,25,2,0.4782608695652174,0.43478260869565216,0.30434782608695654,0.5217391304347826
1170,32,3,0.38461538461538464,0.34615384615384615,0.34615384615384615,0.34615384615384615
1171,39,5,0.5714285714285714,0.6571428571428571,0.45714285714285713,0.6
1172,17,2,0.26666666666666666,0.2,0.2,0.26666666666666666
1173,22,3,0.5294117647058824,0.5882352941176471,0.35294117647058826,0.4117647058823529
1174,35,0,0.3548387096774194,0.3548387096774194,0.3870967741935484,0.3870967741935484
1175,19,1,0.5625,0.4375,0.5625,0.5
1176,35,5,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3870967741935484
1177,35,3,0.36666666666666664,0.3,0.4,0.4
1178,31,3,0.37037037037037035,0.37037037037037035,0.2222222222222222,0.3333333333333333
1179,36,2,0.2903225806451613,0.3225806451612903,0.22580645161290322,0.3548387096774194
1180,19,1,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
1181,19,4,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.21428571428571427
1182,34,1,0.45161290322580644,0.2903225806451613,0.3225806451612903,0.4838709677419355
