sentence_index,sentence_length,uuas_sum,uuas_triu,uuas_tril,uuas_none,proj_sum, proj_triu, proj_tril, proj_none,linear_baseline_score
20,9,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
21,42,0.5135135135135135,0.4594594594594595,0.40540540540540543,0.5135135135135135,0.5405405405405406,0.4864864864864865,0.3783783783783784,0.5135135135135135,0.4864864864864865
22,22,0.15,0.1,0.1,0.15,0.15,0.15,0.2,0.2,0.65
23,17,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714
24,10,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714
25,22,0.1,0.1,0.15,0.2,0.2,0.1,0.25,0.3,0.35
26,17,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.5
27,14,0.08333333333333333,0.16666666666666666,0.25,0.25,0.08333333333333333,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333
28,21,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.2631578947368421,0.15789473684210525,0.3157894736842105,0.2631578947368421,0.3684210526315789,0.5263157894736842
29,18,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.5
30,26,0.30434782608695654,0.13043478260869565,0.30434782608695654,0.34782608695652173,0.30434782608695654,0.17391304347826086,0.391304347826087,0.34782608695652173,0.43478260869565216
31,8,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.6
32,17,0.07692307692307693,0.3076923076923077,0.0,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.0,0.23076923076923078,0.5384615384615384
33,27,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.25,0.5416666666666666
34,21,0.125,0.1875,0.0,0.1875,0.0625,0.125,0.0,0.125,0.5
