sentence_index,sentence_length,uuas_sum,uuas_triu,uuas_tril,uuas_none
46,32,0.23076923076923078,0.2692307692307692,0.3076923076923077,0.2692307692307692
47,29,0.5,0.5416666666666666,0.5,0.5
48,19,0.4375,0.5,0.4375,0.4375
49,13,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.6363636363636364
50,11,0.625,0.625,0.5,0.5
51,21,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5
52,41,0.29411764705882354,0.29411764705882354,0.2647058823529412,0.35294117647058826
53,18,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.23076923076923078
54,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
55,23,0.45,0.45,0.5,0.5
56,23,0.47368421052631576,0.631578947368421,0.3684210526315789,0.5789473684210527
57,33,0.48148148148148145,0.4444444444444444,0.3333333333333333,0.48148148148148145
58,28,0.4090909090909091,0.4090909090909091,0.36363636363636365,0.45454545454545453
59,22,0.15789473684210525,0.2631578947368421,0.3157894736842105,0.2631578947368421
60,14,0.5454545454545454,0.18181818181818182,0.45454545454545453,0.36363636363636365
61,27,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.2857142857142857
62,24,0.47619047619047616,0.38095238095238093,0.6190476190476191,0.47619047619047616
63,15,0.5384615384615384,0.3076923076923077,0.38461538461538464,0.46153846153846156
64,24,0.6,0.6,0.25,0.55
65,17,0.4,0.2,0.26666666666666666,0.3333333333333333
66,4,1.0,1.0,1.0,1.0
67,3,1.0,1.0,1.0,1.0
68,31,0.4,0.36,0.4,0.44
69,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
70,20,0.5,0.5,0.5625,0.5
71,18,0.6428571428571429,0.6428571428571429,0.5,0.6428571428571429
72,31,0.43478260869565216,0.43478260869565216,0.34782608695652173,0.391304347826087
73,12,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222
74,3,1.0,1.0,1.0,1.0
75,31,0.48148148148148145,0.4444444444444444,0.37037037037037035,0.48148148148148145
76,27,0.5217391304347826,0.4782608695652174,0.30434782608695654,0.5217391304347826
77,19,0.4117647058823529,0.4117647058823529,0.5294117647058824,0.5294117647058824
78,13,0.3,0.5,0.3,0.4
79,57,0.2708333333333333,0.3125,0.25,0.3125
80,36,0.41935483870967744,0.41935483870967744,0.45161290322580644,0.45161290322580644
81,54,0.29411764705882354,0.29411764705882354,0.2549019607843137,0.3137254901960784
82,19,0.5625,0.4375,0.4375,0.5
83,33,0.5714285714285714,0.42857142857142855,0.4642857142857143,0.42857142857142855
84,32,0.3793103448275862,0.3793103448275862,0.3448275862068966,0.41379310344827586
85,27,0.25,0.375,0.25,0.25
86,22,0.5333333333333333,0.4666666666666667,0.4,0.5333333333333333
87,31,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.5
88,37,0.3870967741935484,0.3870967741935484,0.3548387096774194,0.3870967741935484
89,36,0.26666666666666666,0.26666666666666666,0.3,0.36666666666666664
90,23,0.47619047619047616,0.3333333333333333,0.47619047619047616,0.47619047619047616
91,53,0.40425531914893614,0.425531914893617,0.3617021276595745,0.3829787234042553
92,31,0.5357142857142857,0.4642857142857143,0.5,0.5
93,23,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333
94,29,0.3076923076923077,0.34615384615384615,0.3076923076923077,0.3076923076923077
95,28,0.3076923076923077,0.34615384615384615,0.4230769230769231,0.4230769230769231
96,30,0.4230769230769231,0.34615384615384615,0.38461538461538464,0.4230769230769231
97,10,0.375,0.5,0.375,0.5
98,52,0.27906976744186046,0.3023255813953488,0.27906976744186046,0.27906976744186046
99,42,0.3783783783783784,0.2972972972972973,0.32432432432432434,0.2972972972972973
